Contour 7 starting with [CP (0,27,0) =-19621]
83^3 + 54^3 - 90^3 = 251
95^3 - 88^3 - 56^3 = 287
100^3 - 93^3 - 58^3 = 531
105^3 - 98^3 - 60^3 = 433
103^3 + 62^3 - 110^3 = 55
108^3 + 64^3 - 115^3 = 981
118^3 - 111^3 - 65^3 = 776
116^3 + 67^3 - 123^3 = 792
126^3 - 119^3 - 68^3 = 785
127^3 + 71^3 - 134^3 = 190
141^3 + 76^3 - 148^3 = 405
151^3 - 144^3 - 77^3 = 434
193^3 - 186^3 - 91^3 = 630
189^3 + 92^3 - 196^3 = 421
212^3 - 205^3 - 97^3 = 330
225^3 - 218^3 - 101^3 = 92
235^3 - 228^3 - 104^3 = 659
238^3 + 107^3 - 245^3 = 190
294^3 - 287^3 - 121^3 = 720
327^3 - 320^3 - 130^3 = 783
342^3 - 335^3 - 134^3 = 209
365^3 - 358^3 - 140^3 = 413
434^3 + 159^3 - 441^3 = 62
459^3 + 165^3 - 466^3 = 8
493^3 + 173^3 - 500^3 = 874
506^3 + 176^3 - 513^3 = 295
559^3 + 188^3 - 566^3 = 55
568^3 + 190^3 - 575^3 = 57
630^3 - 623^3 - 202^3 = 225
644^3 - 637^3 - 205^3 = 6
740^3 - 733^3 - 225^3 = 538
818^3 + 242^3 - 825^3 = 295
970^3 + 271^3 - 977^3 = 678
1015^3 - 1008^3 - 278^3 = 911
1537^3 + 368^3 - 1544^3 = 1
2227^3 - 2220^3 - 470^3 = 83
2277^3 + 478^3 - 2284^3 = 981
2614^3 + 524^3 - 2621^3 = 307
2629^3 + 526^3 - 2636^3 = 309
3021^3 + 577^3 - 3028^3 = 342
4019^3 - 4012^3 - 697^3 = 258
4416^3 + 743^3 - 4423^3 = 736
4650^3 + 769^3 - 4657^3 = 216
5817^3 - 5810^3 - 892^3 = 225
7053^3 + 1015^3 - 7060^3 = 252
7189^3 + 1028^3 - 7196^3 = 685
7210^3 + 1030^3 - 7217^3 = 687
7354^3 - 7347^3 - 1043^3 = 434
7817^3 + 1087^3 - 7824^3 = 792
8418^3 + 1142^3 - 8425^3 = 295
10929^3 + 1359^3 - 10936^3 = 512
11735^3 + 1425^3 - 11742^3 = 512
11903^3 - 11896^3 - 1438^3 = 519
14133^3 + 1613^3 - 14140^3 = 34
15917^3 + 1746^3 - 15924^3 = 125
29419^3 - 29412^3 - 2629^3 = 342
40148^3 + 3235^3 - 40155^3 = 792
46661^3 + 3576^3 - 46668^3 = 125
52390^3 + 3863^3 - 52397^3 = 874
71525^3 + 4754^3 - 71532^3 = 421
95988^3 + 5784^3 - 95995^3 = 701
172456^3 + 8548^3 - 172463^3 = 561
381130^3 + 14503^3 - 381137^3 = 174
982751^3 - 982744^3 - 27271^3 = 456
3077972^3 - 3077965^3 - 58378^3 = 771
14454639^3 - 14454632^3 - 163711^3 = 720
36460580^3 - 36460573^3 - 303358^3 = 771
89534194^3 + 552161^3 - 89534201^3 = 64
129629906^3 - 129629899^3 - 706659^3 = 538


81,490,660,479,485
90,942,377,370,271
230,785,659,789,216
364,944,214,994,183
421355942032262
608827150468634
